['考试', '信息']	2026年6月5日普通话水平测试网络报名通知	2026-05-20 00:00:00	https://jw.nju.edu.cn/b6/94/c26263a833172/page.htm
['信息']	关于中国国际大学生创新大赛（2026） 南京大学校赛报名时间延期的通知	2026-05-19 00:00:00	https://jw.nju.edu.cn/b6/59/c26263a833113/page.htm
['信息', '毕业']	2026届普通全日制本科毕业证书、学士学位证书审核发放流程	2026-05-19 00:00:00	https://jw.nju.edu.cn/b6/19/c26263a833049/page.htm
['信息', '毕业']	关于加强2026年本科毕业论文（设计）管理工作的通知	2026-05-18 00:00:00	https://jw.nju.edu.cn/b5/d2/c26263a832978/page.htm
['信息']	【C9交换】西安交通大学2026年暑期学校入选名单公示	2026-05-14 00:00:00	https://jw.nju.edu.cn/b4/64/c26263a832612/page.htm
['信息']	中国国际大学生创新大赛（2026）南京大学校赛通知	2026-05-10 00:00:00	https://jw.nju.edu.cn/b2/92/c26263a832146/page.htm
['信息']	【补采】2027届普通全日制本科毕业生图像采集春季学期补采通知	2026-05-08 00:00:00	https://jw.nju.edu.cn/b1/f1/c26263a831985/page.htm
['考试', '信息']	2026年5月20日、5月22日普通话水平测试网络报名通知	2026-05-07 00:00:00	https://jw.nju.edu.cn/b1/68/c26263a831848/page.htm
['信息']	关于组织参加教育部高等教育司2026年人工智能综合能力提升培训的通知	2026-05-06 00:00:00	https://jw.nju.edu.cn/b1/37/c26263a831799/page.htm
['信息']	关于招募南京大学2026年中英集成电路与先进制造本科生科考与科研训练项目成员的通知	2026-05-06 00:00:00	https://jw.nju.edu.cn/b0/f3/c26263a831731/page.htm
['信息']	【C9交换】哈尔滨工业大学2026年暑期学校入选名单公示	2026-05-06 00:00:00	https://jw.nju.edu.cn/b1/0a/c26263a831754/page.htm
['信息']	【C9交换】北京大学2026年暑期学校入选名单公示	2026-05-06 00:00:00	https://jw.nju.edu.cn/b1/09/c26263a831753/page.htm
['信息']	【C9交换】2026年西安交通大学暑期学校报名通知	2026-05-06 00:00:00	https://jw.nju.edu.cn/b1/22/c26263a831778/page.htm
['信息']	【C9交换】2026年哈尔滨工业大学暑期学校报名通知	2026-04-27 00:00:00	https://jw.nju.edu.cn/ae/f4/c26263a831220/page.htm
['信息']	【C9交换】2026年北京大学暑期学校报名通知	2026-04-27 00:00:00	https://jw.nju.edu.cn/ae/b5/c26263a831157/page.htm
